CHAR_NAME,CHAR_LEVEL,CHAR_MAX_HP,CHAR_MAX_SP,CHAR_MAX_EXP,CHAR_ATK,CHAR_DEF,CHAR_CRI
UnityChan,1,450,100,50,65,30,12
UnityChan,2,500,100,70,75,35,15
UnityChan,3,550,100,90,90,40,18
UnityChan,4,600,100,110,105,45,21
UnityChan,5,650,100,130,120,50,24
UnityChan,6,700,100,150,135,55,27
UnityChan,7,750,100,170,150,60,30
UnityChan,8,800,100,190,165,65,33
UnityChan,9,850,100,210,180,70,36
UnityChan,10,900,110,230,195,75,39
UnityChan,11,950,110,250,210,80,42
UnityChan,12,1000,110,270,225,85,45
UnityChan,13,1050,110,290,240,90,48
UnityChan,14,1100,110,310,255,95,51
UnityChan,15,1150,110,330,270,100,54
UnityChan,16,1200,110,350,285,105,57
UnityChan,17,1250,110,370,300,110,60
UnityChan,18,1300,110,390,315,115,63
UnityChan,19,1350,110,410,330,120,66
UnityChan,20,1400,120,430,345,125,69
UnityChan,21,1450,120,450,360,130,72
UnityChan,22,1500,120,470,375,135,75
UnityChan,23,1550,120,490,390,140,78
UnityChan,24,1600,120,510,405,145,81
UnityChan,25,1650,120,530,420,150,84
UnityChan,26,1700,120,550,435,155,87
UnityChan,27,1750,120,570,450,160,90
UnityChan,28,1800,120,590,465,165,93
UnityChan,29,1850,120,610,480,170,96
UnityChan,30,1900,120,630,495,175,99
